ODO,QTY,CHRONO1,CHRONO2,MILES
170577,16.421,12477,919,0
170865,23.195,12495,926,288
171131,20.732,12514,934,266
171353,52.375,12529,940,222
171636,26.073,12548,947,283
172050,1.813,12575,958,414
172122,20.65,12581,961,72
172644,56.557,12616,975,522
172684,21.443,12620,977,40
172936,3.814,12639,984,252
173424,6.714,12672,996,488
173677,59.816,12690,1003,253
173897,5.541,12709,1010,220
173897,28.552,12709,1010,0
174113,44.308,12726,1017,216
174369,58.539,12743,1023,256
174510,40.984,12754,1027,141
174744,54.112,12772,1034,234
174985,53.776,12788,1039,241
175188,34.52,12802,1045,203
175315,4.964,12811,1049,127
175486,40.884,12824,1053,171
175647,47.346,12835,1057,161
175883,55.096,12854,1064,236
176130,66.236,12872,1070,247
176338,31.853,12888,1077,208
176734,54.543,12917,1087,396
177177,52.193,12948,1099,443
177470,63.113,12967,1106,293
177748,63.933,12986,1112,278
177894,44.722,12999,1118,146
178092,29.877,13016,1125,198
178301,57.903,13029,1130,209
178479,38.099,13046,1137,178
178732,38.855,13063,1144,253
178988,50.645,13081,1151,256
179235,6.557,13099,1158,247
179945,49.683,13153,1181,710
180041,33.69,13162,1186,96
180053,22.954,13165,1188,12
180377,62.85,13190,1198,324
180584,53.74,13204,1204,207
180795,34.39,13218,1210,211
180959,40.87,13231,1215,164
181151,30.88,13245,1221,192
181449,29.05,13265,1228,298
181603,40.37,13275,1231,154
181745,22.55,13287,1237,142
181987,39.48,13303,1244,242
181998,26.81,13305,1245,11
182234,39.11,13324,1253,236
182472,42.78,13342,1260,238
182667,43.45,13354,1265,195
182837,44.08,13366,1270,170
183030,44.8,13380,1275,193
183277,49.34,13398,1283,247
183510,48.61,13415,1291,233
183791,54.6,13434,1297,281
183999,51.7,13450,1303,208
184302,64.42,13469,1309,303
184498,53.01,13484,1317,196
184707,45.22,13499,1324,209
185031,42.33,13529,1339,324
185284,54.99,13547,1347,253
185489,50.01,13561,1353,205
185773,58.63,13580,1359,284
185968,47.75,13596,1366,195
186258,52.6,13615,1373,290
186418,36.02,13627,1378,160
186546,31.25,13637,1383,128
186697,30.61,13647,1387,151
186843,37.45,13658,1391,146
186846,0.57,13659,1392,3
187058,48.07,13674,1398,212
187337,49.88,13693,1405,279
187609,50.95,13712,1412,272
187611,15.29,13712,1412,2
187691,16.11,13719,1415,80
187947,44.61,13737,1423,256
188194,49.45,13756,1430,247
188259,46.29,13762,1434,65
188537,38.19,13780,1440,278
188814,58.45,13799,1447,277
189332,40.14,13839,1464,518
189607,59.63,13858,1471,275
189799,40.42,13872,1477,192
189990,39.68,13888,1484,191
190227,61.2,13905,1490,237
190559,22.59,13927,1497,332
190559,22.73,13927,1497,0
190780,47.82,13946,1505,221
191061,80.47,13965,1513,281
191323,52.19,13983,1520,262
191597,53.83,14002,1527,274
191673,8.69,14007,1530,76
191673,8.38,14007,1530,0
191871,51.78,14027,1540,198
192111,63.69,14045,1547,240
192385,52.7,14064,1555,274
192598,74.83,14079,1560,213
192773,29.45,14092,1564,175
192961,30.82,14106,1570,188
193141,36.18,14119,1576,180
193264,55.54,14128,1580,123
193478,33.18,14143,1585,214
193717,53.44,14161,1593,239
193851,24.83,14173,1599,134
194115,63.7,14191,1607,264
194297,55.09,14204,1611,182
194509,50.88,14219,1616,212
194771,59.59,14236,1622,262
195275,45.58,14269,1636,504
195275,22.46,14269,1636,0
195550,85.54,14288,1643,275
195809,36.22,14307,1651,259
196022,40.73,14322,1657,213
196122,30.66,14331,1662,100
196326,49.43,14346,1668,204
196523,37.92,14361,1673,197
196714,49.42,14374,1678,191
197034,72.2,14399,1689,320
197246,48.2,14414,1695,212
197510,84.31,14433,1703,264
197777,44.98,14460,1717,267
198050,67.63,14478,1724,273
198211,37.86,14490,1729,161
198403,41.25,14503,1734,192
198518,42.44,14512,1738,115
198906,58.32,14544,1754,388
199188,75.94,14561,1760,282
199533,80.05,14586,1770,345
199737,36.15,14601,1776,204
199991,53.75,14619,1784,254
200206,40.58,14634,1790,215
200391,42.7,14648,1797,185
200669,57.16,14667,1805,278
200879,66.03,14686,1813,210
201090,41.02,14700,1819,211
201205,29.34,14708,1822,115
201384,37.84,14722,1828,179
201849,114.3,14765,1850,465
