ODO,QTY,CHRONO1,MILES
170577,16.421,12477,0
170865,23.195,12495,288
171131,20.732,12514,266
171353,52.375,12529,222
171636,26.073,12548,283
172050,1.813,12575,414
172122,20.65,12581,72
172644,56.557,12616,522
172684,21.443,12620,40
172936,3.814,12639,252
173424,6.714,12672,488
173677,59.816,12690,253
173897,5.541,12709,220
173897,28.552,12709,0
174113,44.308,12726,216
174369,58.539,12743,256
174510,40.984,12754,141
174744,54.112,12772,234
174985,53.776,12788,241
175188,34.52,12802,203
175315,4.964,12811,127
175486,40.884,12824,171
175647,47.346,12835,161
175883,55.096,12854,236
176130,66.236,12872,247
176338,31.853,12888,208
176734,54.543,12917,396
177177,52.193,12948,443
177470,63.113,12967,293
177748,63.933,12986,278
177894,44.722,12999,146
178092,29.877,13016,198
178301,57.903,13029,209
178479,38.099,13046,178
178732,38.855,13063,253
178988,50.645,13081,256
179235,6.557,13099,247
179945,49.683,13153,710
180041,33.69,13162,96
180053,22.954,13165,12
180377,62.85,13190,324
180584,53.74,13204,207
180795,34.39,13218,211
180959,40.87,13231,164
181151,30.88,13245,192
181449,29.05,13265,298
181603,40.37,13275,154
181745,22.55,13287,142
181987,39.48,13303,242
181998,26.81,13305,11
182234,39.11,13324,236
182472,42.78,13342,238
182667,43.45,13354,195
182837,44.08,13366,170
183030,44.8,13380,193
183277,49.34,13398,247
183510,48.61,13415,233
183791,54.6,13434,281
183999,51.7,13450,208
184302,64.42,13469,303
184498,53.01,13484,196
184707,45.22,13499,209
185031,42.33,13529,324
185284,54.99,13547,253
185489,50.01,13561,205
185773,58.63,13580,284
185968,47.75,13596,195
186258,52.6,13615,290
186418,36.02,13627,160
186546,31.25,13637,128
186697,30.61,13647,151
186843,37.45,13658,146
186846,0.57,13659,3
187058,48.07,13674,212
187337,49.88,13693,279
187609,50.95,13712,272
187611,15.29,13712,2
187691,16.11,13719,80
187947,44.61,13737,256
188194,49.45,13756,247
188259,46.29,13762,65
188537,38.19,13780,278
188814,58.45,13799,277
189332,40.14,13839,518
189607,59.63,13858,275
189799,40.42,13872,192
189990,39.68,13888,191
190227,61.2,13905,237
190559,22.59,13927,332
190559,22.73,13927,0
190780,47.82,13946,221
191061,80.47,13965,281
191323,52.19,13983,262
191597,53.83,14002,274
191673,8.69,14007,76
191673,8.38,14007,0
191871,51.78,14027,198
192111,63.69,14045,240
192385,52.7,14064,274
192598,74.83,14079,213
192773,29.45,14092,175
192961,30.82,14106,188
193141,36.18,14119,180
193264,55.54,14128,123
193478,33.18,14143,214
193717,53.44,14161,239
193851,24.83,14173,134
194115,63.7,14191,264
194297,55.09,14204,182
194509,50.88,14219,212
194771,59.59,14236,262
195275,45.58,14269,504
195275,22.46,14269,0
195550,85.54,14288,275
195809,36.22,14307,259
196022,40.73,14322,213
196122,30.66,14331,100
196326,49.43,14346,204
196523,37.92,14361,197
196714,49.42,14374,191
197034,72.2,14399,320
197246,48.2,14414,212
197510,84.31,14433,264
197777,44.98,14460,267
198050,67.63,14478,273
198211,37.86,14490,161
198403,41.25,14503,192
198518,42.44,14512,115
198906,58.32,14544,388
199188,75.94,14561,282
199533,80.05,14586,345
199737,36.15,14601,204
199991,53.75,14619,254
200206,40.58,14634,215
200391,42.7,14648,185
200669,57.16,14667,278
200879,66.03,14686,210
201090,41.02,14700,211
201205,29.34,14708,115
201384,37.84,14722,179
201849,114.3,14765,465
202094,48.61,14785,245
202230,41.19,14796,136
202410,43.36,14809,180
202670,55.34,14826,260
202880,50.91,14842,210
203155,43.48,14861,275
203365,47.66,14876,210
203614,63.04,14898,249
203741,43.27,14911,127
204081,62.16,14939,340
204325,59.53,14957,244
204513,46.57,14971,188
204774,57.99,14991,261
204909,59.4,15003,135
205098,37.23,15019,189
205269,47.34,15032,171
205553,63.57,15053,284
205724,55.55,15074,171
205824,17.28,15080,100
206021,49.46,15094,197
206195,34.75,15109,174
206415,50.98,15128,220
206655,81.06,15151,240
207109,94.03,15184,454
207363,69.03,15201,254
207573,61.55,15219,210
207814,64.23,15239,241
208161,78.68,15262,347
208420,66.73,15280,259
208631,58.68,15299,211
209054,76.03,15329,423
209283,77.53,15347,229
209540,50.06,15366,257
209907,20.7,15392,367
209907,59.72,15392,0
209913,27.08,15395,6
210127,35.25,15412,214
210432,76.71,15432,305
210865,0.05,15462,433
210865,76.97,15462,0
211077,53.69,15476,212
211357,59.52,15496,280
211607,49.67,15513,250
211751,63.22,15527,144
212080,84.81,15551,329
212476,0.47,15582,396
212476,99.74,15582,0
212736,62.12,15600,260
213126,93.72,15628,390
213396,63.04,15647,270
213532,36.51,15659,136
213784,52.43,15677,252
214036,63.93,15695,252
214241,43.28,15710,205
214241,9.9,15710,0
214753,0.7,15748,512
214753,111.99,15748,0
215018,40.51,15767,265
215259,72.4,15785,241
215515,58.26,15803,256
215771,43.16,15821,256
215774,28.81,15821,3
216051,56.08,15840,277
216309,56.32,15858,258
216506,0.09,15876,197
216506,26.58,15876,0
216897,111.97,15913,391
217172,67.09,15932,275
217428,60.05,15950,256
217720,62.78,15968,292
217963,59.48,15985,243
218252,11.275,16004,289
218638,90.3,16031,386
218890,50.39,16049,252
219088,31.21,16061,198
219088,0.2,16061,0
219088,0.18,16061,0
219088,2.64,16061,0
219532,105.52,16091,444
219864,99.97,16120,332
220131,57.9,16137,267
220515,90.3,16166,384
220796,67.34,16189,281
221059,13.23,16209,263
221059,33.54,16209,0
221329,79.23,16230,270
221585,53.43,16247,256
221788,44.96,16262,203
222027,46.12,16281,239
222266,62.61,16300,239
222532,62.27,16319,266
222805,73.05,16339,273
223067,51.71,16359,262
223328,72.9,16378,261
223569,46.97,16396,241
223771,53.71,16410,202
224073,58.3,16432,302
224241,40.96,16445,168
224590,86.71,16472,349
225015,91.18,16504,425
225223,52.51,16518,208
225463,53.87,16535,240
225731,44,16555,268
225964,66.69,16572,233
226134,46.16,16584,170
226366,52.87,16601,232
226513,36.92,16613,147
226784,33.36,16632,271
226784,8.26,16632,0
226784,8.76,16632,0
227060,72.84,16651,276
227321,61.24,16669,261
227573,54.02,16688,252
227832,69.1,16713,259
228083,60.38,16731,251
228340,62.1,16750,257
228483,29.82,16763,143
228727,60.75,16781,244
228988,62.32,16801,261
229237,55.56,16820,249
229418,44.21,16835,181
229610,12.18,16854,192
229871,59.03,16872,261
230064,60.38,16890,193
230308,63.63,16908,244
230602,59.06,16928,294
230716,29.63,16938,114
230952,42.27,16954,236
231184,69.45,16972,232
231360,41.82,16986,176
231581,47.85,17001,221
231796,11,17018,215
231796,20.76,17018,0
232031,46.59,17035,235
232260,78.68,17056,229
232431,22.98,17068,171
232431,14.16,17068,0
232756,56.77,17095,325
232756,1.314,17095,0
232756,1.463,17095,0
232756,0.731,17095,0
232981,49.24,17110,225
233227,58.71,17128,246
233466,51.64,17146,239
233591,32.55,17157,125
233798,38.04,17172,207
234049,52.14,17190,251
234262,50.2,17205,213
234446,40.34,17218,184
234606,41.45,17232,160
234767,39.83,17243,161
234938,41.44,17255,171
234999,17.3,17260,61
235111,19.84,17268,112
235206,32.57,17279,95
235459,29.02,17297,253
235723,61.74,17316,264
235999,63.93,17334,276
236138,34.22,17344,139
236383,51.68,17363,245
236565,48.43,17376,182
236816,64.02,17395,251
237109,54.12,17414,293
237223,29.13,17425,114
237415,53.2,17443,192
237626,56.02,17458,211
237833,50.76,17473,207
238113,54.63,17492,280
238348,49.21,17507,235
238585,59.5,17528,237
238795,55.66,17543,210
238998,30.65,17558,203
239260,77.37,17577,262
239468,47.89,17591,208
239557,36.6,17604,89
239737,36.75,17617,180
239987,49.34,17634,250
240240,74.8,17663,253
240476,60.95,17678,236
241114,67.89,17728,638
241303,52.71,17744,189
241475,36.94,17756,172
241637,45.49,17768,162
241845,46.04,17784,208
242028,42.09,17797,183
242528,63.85,17835,500
243026,74.18,17868,498
243223,40.03,17881,197
243485,51.59,17900,262
243775,50.78,17920,290
244004,61.47,17938,229
244234,48.04,17956,230
244513,64.33,17975,279
244709,38.72,17989,196
244944,49.62,18008,235
245155,52.78,18022,211
245397,54.4,18041,242
245660,65.11,18059,263
245910,49.85,18077,250
246090,45.03,18092,180
246329,46.09,18109,239
246578,60.41,18127,249
246769,49.22,18141,191
247043,63.9,18161,274
247182,40.22,18171,139
247373,37.57,18184,191
247582,51.28,18199,209
247772,46.31,18212,190
248013,30.8,18229,241
248013,18.04,18229,0
248236,41.45,18246,223
248427,41.59,18259,191
248692,52,18277,265
248866,46.55,18290,174
249048,29.93,18303,182
249286,46.2,18321,238
249504,56.46,18339,218
249688,55.82,18353,184
249895,58.77,18366,207
250148,51.39,18384,253
250339,43.31,18398,191
250601,59.3,18418,262
250867,62.51,18436,266
251123,67.62,18454,256
251309,43.59,18467,186
251539,41.22,18484,230
251691,44.21,18495,152
251831,38.21,18507,140
252075,57.78,18525,244
252326,51.12,18544,251
252599,58.56,18563,273
252937,77.09,18586,338
253145,51.16,18601,208
253337,44.75,18614,192
253629,48.63,18637,292
253762,46.63,18645,133
253979,63.2,18665,217
254235,52.93,18683,256
254429,50.45,18695,194
254621,51.39,18709,192
254864,0.27,18727,243
255126,111.45,18747,262
255331,58.01,18765,205
255578,56.07,18782,247
255787,57.42,18797,209
256041,59.34,18814,254
256305,56.97,18833,264
256556,49.92,18850,251
256802,57.04,18869,246
257079,73.91,18889,277
257267,46.14,18903,188
257373,38,18912,106
257580,44.44,18926,207
257844,52.71,18945,264
258057,59.61,18960,213
258324,54.01,18979,267
258602,64.87,18998,278
258811,56.19,19013,209
258981,46.08,19026,170
259285,77.75,19053,304
259538,60.22,19070,253
259737,51.9,19085,199
259923,47.28,19098,186
260158,52.99,19115,235
260173,25.2,19116,15
260173,0.4,19116,0
260173,0.4,19116,0
260392,51.58,19131,219
260550,44.51,19143,158
260757,53.45,19162,207
260986,56.75,19182,229
261249,57.93,19200,263
261514,38.84,19218,265
261721,61.13,19235,207
261978,73.99,19254,257
262232,55.83,19273,254
262424,52.25,19287,192
262678,49.31,19304,254
263239,26.94,19343,561
263239,18.73,19343,0
263495,62.7,19361,256
263681,47.53,19373,186
263893,38.59,19387,212
264144,59.25,19405,251
264402,59.3,19423,258
264656,52.81,19441,254
264910,22.084,19459,254
265089,66.77,19473,179
265345,62.93,19491,256
265634,58.19,19513,289
265723,31.49,19522,89
265947,32.79,19537,224
266060,46.82,19546,113
266235,43.75,19560,175
266381,43.9,19581,146
266593,54.26,19596,212
266844,54.39,19615,251
267101,58.97,19633,257
267282,39.26,19648,181
267362,32.95,19660,80
267476,21.81,19670,114
267681,62.38,19689,205
267884,50.72,19704,203
268059,28.17,19715,175
268205,51.56,19725,146
268403,49.23,19740,198
268646,49.29,19757,243
268905,46.69,19776,259
269179,73.44,19793,274
269433,64.29,19811,254
269604,50.8,19824,171
269830,34.08,19832,226
269972,29.24,19842,142
270078,32.63,19852,106
270180,31.31,19867,102
270413,45.78,19883,233
270633,50.72,19900,220
270810,35.03,19911,177
270956,45.84,19929,146
271209,64.65,19946,253
271470,48.86,19964,261
271742,50.6,19984,272
271742,18.03,19984,0
271995,8.38,20002,253
271995,12.85,20002,0
271995,20.6,20002,0
272167,57.57,20014,172
272568,57.26,20052,401
272749,30.54,20066,181
272871,42.3,20074,122
273017,37.27,20086,146
273207,1.17,20100,190
273207,43.22,20100,0
